Date,Open,High,Low,Close,Adj Close,Volume
4/15/2019,456.359985,457.100006,449.769989,451.859985,451.859985,590800
4/16/2019,453.100006,466.890015,453,466.540009,466.540009,1030700
4/17/2019,466.980011,468.779999,462.420013,467.48999,467.48999,628200
4/18/2019,468.779999,469.369995,465.690002,465.690002,465.690002,530400
4/22/2019,463.75,465.660004,462.149994,464.019989,464.019989,432900
4/23/2019,464,474.029999,463.899994,474.029999,474.029999,687400
4/24/2019,474.029999,482.369995,472.609985,480.170013,480.170013,1008500
4/25/2019,477.890015,480.480011,472.609985,474.450012,474.450012,598700
4/26/2019,475.109985,479.459991,471.850006,478.980011,478.980011,469000
4/29/2019,NaN,481.579987,478.609985,479.839996,479.839996,366900
4/30/2019,479.73999,485.850006,477.570007,485.23999,485.23999,567600
5/1/2019,486.839996,487.450012,478.709991,479.130005,479.130005,488600
5/2/2019,479.51001,480.170013,471.470001,476.410004,476.410004,436100
5/3/2019,NaN,482.899994,476.410004,482.5,482.5,403300
5/6/2019,472.920013,478.619995,469.869995,476.369995,476.369995,434400
5/7/2019,473.609985,473.929993,459.059998,463.769989,463.769989,709500
5/8/2019,462.179993,469.459991,459.619995,465.470001,465.470001,454800
5/9/2019,458.730011,464.459991,454.160004,464.220001,464.220001,435500
5/10/2019,461.850006,465.640015,453.25,463,463,484000
